GSL_ID,NAME,SUB_NAME,ADDR,CITY,STATE,ZIP,TYPE_CNTRL,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,FLAG_1,FLAG_2,PRGMS,CONG_DIST,REGION
001015,ENTERPRISE STATE JUNIOR COLLEGE,,600 PLAZA DRIVE,ENTERPRISE,AL,36330,2 yr/Pub,94,         2,        22,  11.6,*,93,         1,        18,  10.4,*,92,         5,        29,   7.8,*,,,F,02,04
001003,FAULKNER UNIVERSITY,,5345 ATLANTA HWY,MONTGOMERY,AL,36109,5 yr/Priv,94,        53,       477,  11.1,,93,        41,       475,   8.6,,92,        58,       503,  11.5,,,,F,02,04
005697,NORTHWEST-SHOALS COMMUNITY COLLEGE,,"GEORGE WALLACE BLVD, POB 2545",MUSCLE SHOALS,AL,35662,2 yr/Pub,94,        19,       172,  11.0,,93,        23,       143,  16.1,,92,         4,        35,  11.4,,,,F,05,04
008310,AUBURN UNIVERSITY AT MONTGOMERY,,7200 UNIVERSITY DR,MONTGOMERY,AL,36117,4 yr/Pub,94,        74,       682,  10.9,,93,        58,       591,   9.8,,92,        40,       495,   8.1,,,,B,02,04
001040,SOUTHERN UNION STATE COMMUNITY COLL,EGE,"ROBERTS STREET, PO BOX 1000",WADLEY,AL,36276,2 yr/Pub,94,        12,       111,  10.8,,93,         8,       101,   7.9,,92,         5,        48,  10.4,,C,,,03,04
001026,MARION MILITARY INSTITUTE,,WASHINGTON STREET,MARION,AL,36756,2 yr/Priv,94,         3,        31,   9.7,,93,         5,        45,  11.1,,92,        16,        81,  19.8,,,,F,07,04
001020,JACKSONVILLE STATE UNIVERSITY,,**,JACKSONVILLE,AL,36265,5 yr/Pub,94,        84,       889,   9.4,,93,        94,       926,  10.2,,92,        87,       850,  10.2,,,,B,03,04
021997,INTERNATIONAL BIBLE COLLEGE,,PO BOX IBC,FLORENCE,AL,35630,4 yr/Priv,94,         1,        12,   9.3,*,93,         1,        10,  12.8,*,92,         2,        21,  10.5,*,,,F,05,04
007871,GEORGE C WALLACE STATE COMMUNITY CO,LLEGE,801 MAIN ST NW,HANCEVILLE,AL,35077,2 yr/Pub,94,         1,         8,   8.8,*,93,         4,        37,  10.8,,92,         4,        57,   7.0,,,,F,04,04
004462,GADSDEN BUSINESS COLLEGE,,750 FORREST AVE,GADSDEN,AL,35901,1 yr/Prop,94,         8,        94,   8.5,,93,        19,       123,  15.4,,92,        16,       158,  10.1,,,,B,04,04
012182,CHATTAHOOCHEE VALLEY STATE COMMUNIT,Y COLLEGE,2602 SAVAGE DR,PHENIX CITY,AL,36867,2 yr/Pub,94,         0,         0,   8.3,*,93,         0,         5,   9.1,*,92,         1,         7,  11.4,*,,,F,03,04
001033,OAKWOOD COLLEGE,,"OAKWOOD ROAD, NW",HUNTSVILLE,AL,35896,4 yr/Priv,94,        26,       347,   7.5,,93,        38,       362,  10.5,,92,        59,       418,  14.1,,H,,F,05,04
001047,TROY STATE UNIVERSITY,,UNIVERSITY AVENUE,TROY,AL,36082,5 yr/Pub,94,        66,       885,   7.5,,93,        68,       642,  10.6,,92,        51,       529,   9.6,,,,F,02,04
001023,JUDSON COLLEGE,,220 BIBB STREET,MARION,AL,36756,4 yr/Priv,94,         4,        55,   7.3,,93,         3,        63,   4.8,,92,         1,        50,   2.0,,,,F,07,04
025034,SOUTHERN CHRISTIAN UNIVERSITY,,"1200 TAYLOR RD, PO BOX 240240",MONTGOMERY,AL,36117,5 yr/Priv,94,         1,        29,   7.1,*,93,         3,        29,   8.2,*,92,         2,        27,   6.3,*,,,F,00,04
001016,UNIVERSITY OF NORTH ALABAMA,,**,FLORENCE,AL,35632,5 yr/Pub,94,        45,       656,   6.9,,93,        27,       546,   4.9,,92,        43,       535,   8.0,,,,F,05,04
001057,UNIVERSITY OF SOUTH ALABAMA,,"307 UNIVERSITY BLVD, 170 CSAB",MOBILE,AL,36688,5 yr/Pub,94,       108,      1621,   6.7,,93,       107,      1483,   7.2,,92,       102,      1340,   7.6,,,,F,01,04
001012,BIRMINGHAM-SOUTHERN COLLEGE,,900 ARKADELPHIA RD,BIRMINGHAM,AL,35254,5 yr/Priv,94,        11,       167,   6.6,,93,         7,       156,   4.5,,92,         5,       158,   3.2,,,,F,06,04
001017,GADSDEN STATE COMMUNITY COLLEGE,,GEORGE WALLACE DR,GADSDEN,AL,35999,2 yr/Pub,94,         2,        25,   6.5,*,93,         3,        52,   5.8,,92,         1,        16,  12.4,*,,,F,04,04
001029,UNIVERSITY OF MOBILE,,"5735 COLLEGE PKY, POB 13220",MOBILE,AL,36663,5 yr/Priv,94,        26,       400,   6.5,,93,        13,       298,   4.4,,92,        19,       261,   7.3,,,,F,01,04
001041,SPRING HILL COLLEGE,,4000 DAUPHIN STREET,MOBILE,AL,36608,5 yr/Priv,94,        13,       210,   6.2,,93,        23,       224,  10.3,,92,        15,       224,   6.7,,,,F,01,04
001048,TROY STATE UNIVERSITY AT DOTHAN,,PO BOX 8368,DOTHAN,AL,36304,5 yr/Pub,94,        11,       177,   6.2,,93,         6,       132,   4.5,,92,         5,       115,   4.3,,,,F,02,04
001004,UNIVERSITY OF MONTEVALLO,,STATION 6001,MONTEVALLO,AL,35115,5 yr/Pub,94,        26,       433,   6.0,,93,        30,       356,   8.4,,92,        18,       298,   6.0,,,,B,00,04
001019,HUNTINGDON COLLEGE,,1500 E FAIRVIEW AVE,MONTGOMERY,AL,36194,4 yr/Priv,94,         6,       102,   5.9,,93,         2,        82,   2.4,,92,         3,        84,   3.6,,,,F,02,04
001060,JAMES H FAULKNER STATE COMMUNITY CO,LLEGE,"1900 US HWY 30, S",BAY MINETTE,AL,36507,2 yr/Pub,94,         2,        34,   5.9,,93,        12,        89,  13.5,,92,        10,        86,  11.6,,C,,,01,04
001008,ATHENS STATE COLLEGE,,BEATY STREET,ATHENS,AL,35611,4 yr/Pub,94,        14,       244,   5.7,,93,        11,       211,   5.2,,92,         4,       150,   2.7,,,,B,05,04
022960,PRINCE INSTITUTE OF PROFESSIONAL ST,UDIES,7735 ATLANTA HIGHWAY,MONTGOMERY,AL,36117,3 yr/Prop,94,         1,        26,   5.6,*,93,         4,        41,   9.8,,92,         1,        41,   2.4,,,,F,00,04
001038,SNEAD STATE JUNIOR COLLEGE,,"200 WALNUT ST, PO DRAWER D",BOAZ,AL,35957,2 yr/Pub,94,         0,         3,   5.6,*,93,         0,         5,   5.7,*,92,         1,        10,   7.6,*,C,,,04,04
001049,"TROY STATE UNIVERSITY, MONTGOMERY",,PO DRAWER 4419,MONTGOMERY,AL,36103,5 yr/Pub,94,         0,         0,   5.2,*,93,         2,        62,   3.2,,92,         4,        53,   7.5,,,,F,02,04
001051,UNIV OF ALABAMA,,,TUSCALOOSA,AL,35487,4 yr/Pub,94,       121,      2373,   5.1,,93,       134,      2419,   5.5,,92,       144,      2161,   6.7,,,,B,07,04
001052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,"UAB STATION, MJH 107",BIRMINGHAM,AL,35294,5 yr/Pub,94,        92,      1810,   5.1,,93,       101,      1632,   6.2,,92,        74,      1261,   5.9,,C,,D,06,04
001055,UNIVERSITY OF ALABAMA IN HUNTSVILLE,,124 UNIVERSITY CENTER,HUNTSVILLE,AL,35899,5 yr/Pub,94,        23,       453,   5.1,,93,        19,       421,   4.5,,92,        20,       439,   4.6,,,,B,05,04
001009,AUBURN UNIVERSITY,,107 SAMFORD HALL,AUBURN,AL,36849,5 yr/Pub,94,        93,      2038,   4.6,,93,        73,      1822,   4.0,,92,        74,      1747,   4.2,,,,B,03,04
001036,SAMFORD UNIVERSITY,,800 LAKESHORE DR,BIRMINGHAM,AL,35229,4 yr/Priv,94,        26,       863,   3.0,,93,        29,       923,   3.1,,92,        28,       747,   3.7,,,,F,06,04
005749,ALABAMA AVIATION & TECHNICAL COLLEG,E,"1439 S UNION ST, PO BOX 1209",OZARK,AL,36361,2 yr/Pub,94,         1,        35,   2.9,,93,         5,        58,   8.6,,92,         3,        58,   5.2,,,,F,02,04
006155,COOSA VALLEY MEDICAL CENTER SCHOOL,OF NURSING,S MOBILE AVE,SYLACAUGA,AL,35150,2 yr/Pub,94,         1,        28,   1.7,*,93,         0,        19,   0.0,*,92,         0,        13,   0.0,*,,,F,03,04
021706,UNITED STATES SPORTS ACADEMY,,ONE ACADEMY DR,DAPHNE,AL,36526,5 yr/Priv,94,         2,       130,   1.5,,93,         2,       105,   1.9,,92,         3,       117,   2.6,,,,F,01,04
030325,ALABAMA STATE COLLEGE OF BARBER STY,LING,"9480 PARKWAY, E",BIRMINGHAM,AL,35215,1 yr/Prop,94,         0,         1,   0.0,*,93,         0,         3,   0.0,,92,         0,         0,   0.0,,,,F,06,04
005704,BESSEMER STATE TECHNICAL COLLEGE,,PO BOX 308,BESSEMER,AL,35020,2 yr/Pub,94,         0,         0,   0.0,*,93,         0,         0,  14.3,*,92,         0,         0,  22.9,*,C,,,07,04
001007,CENTRAL ALABAMA COMMUNITY COLLEGE,,"908 CHEROKEE RD, PO BOX 699",ALEXANDER CITY,AL,35010,2 yr/Pub,94,         0,         6,   0.0,*,93,         0,        11,   0.0,*,92,         0,         2,   9.5,*,C,,,03,04
005736,CHAUNCEY SPARKS STATE TECHNICAL COL,LEGE,HWY 431 S PO DRAWER 580,EUFAULA,AL,36027,2 yr/Pub,94,         0,         0,   0.0,*,93,         0,         0,   0.0,*,92,         0,         0,   0.0,*,C,,,02,04
005705,HARRY M AYERS STATE TECHNICAL COLLE,GE,PO BOX 1647,ANNISTON,AL,36202,2 yr/Pub,94,         0,         0,   0.0,*,93,         0,         0,   0.0,*,92,         0,         0,   0.0,*,C,,,03,04
005260,J F DRAKE STATE TECHNICAL COLLEGE,,3421 MERIDIAN ST N,HUNTSVILLE,AL,35811,2 yr/Pub,94,         0,         0,   0.0,*,93,         0,         0,   0.0,*,92,         0,         0,  50.0,*,H,,F,05,04
001031,NORTHEAST ALABAMA STATE JUNIOR COLL,EGE,PO BOX 159,RAINSVILLE,AL,35986,2 yr/Pub,94,         0,         0,   0.0,*,93,         0,         0,   0.0,*,92,         0,         0,   0.0,*,C,,,04,04
005692,REID STATE TECHNICAL COLLEGE,,PO BOX 588,EVERGREEN,AL,36401,2 yr/Pub,94,         0,         1,   0.0,*,93,         0,         0,   0.0,*,92,         0,         0,  14.3,*,C,,,00,04
022842,NEW TYLER BARBER COLG,,1221 E 7TH ST,NORTH LITTLE ROCK,AR,72114,1 yr/Prop,94,         0,         0,  51.3,*,93,        13,        28,  49.3,*,92,        28,        52,  53.8,,C,,,02,06
001087,ARKANSAS BAPTIST COLLEGE,,1600 HIGH STREET,LITTLE ROCK,AR,72202,4 yr/Priv,94,        34,        75,  45.3,,93,        41,       102,  40.2,,92,        34,        94,  36.2,,H,,B,02,06
001105,SHORTER COLG,,604 N LOCUST ST,NORTH LITTLE ROCK,AR,72114,2 yr/Priv,94,         1,         3,  39.4,*,93,         0,         5,  38.1,*,92,        27,        63,  42.9,,H,,F,02,06
021111,RICH MOUNTAIN COMMUNITY COLLEGE,,1100 BUSH STREET,MENA,AR,71953,2 yr/Pub,94,        24,        67,  35.8,,93,        12,        49,  24.5,,92,         6,        47,  12.8,,,,F,03,06
007044,CROWLEYS RIDGE TECHL INST,,POB 925,FORREST CITY,AR,72335,1 yr/Pub,94,         1,         6,  34.6,*,93,         5,        27,  41.3,*,92,        30,        71,  42.3,,C,,,01,06
030234,ARKANSAS COLG OF BARBERING & HAIR D,ESIGN,200 WASHINGTON AVE,NORTH LITTLE ROCK,AR,72114,1 yr/Prop,94,         2,         5,  33.3,*,93,         1,         5,  28.6,*,92,         1,         2,  50.0,,,,F,02,06
025258,LEE'S SCHOOL OF COSMETOLOGY,,2700 W PERSHING BLVD,NORTH LITTLE ROCK,AR,72114,1 yr/Prop,94,         0,         0,  30.8,*,93,         3,        12,  19.6,*,92,         5,        14,  23.0,*,,,F,02,06
025991,REMINGTON COLG,,7601 SCOTT HAMILTON DR,LITTLE ROCK,AR,72209,2 yr/Priv,94,        64,       210,  30.5,,93,       143,       402,  35.6,,92,       256,       845,  30.3,,C,,,02,06
005319,FOOTHILLS TECHNICAL INSTITUTE,,"1800 EAST MOORE ST, PO BOX 909",SEARCY,AR,72143,1 yr/Pub,94,         9,        32,  28.1,,93,         4,        33,  12.1,,92,        15,        56,  26.8,,C,,,02,06
021459,RICE BELT VOCNL SCHL,,POB 427,DE WITT,AR,72042,2 yr/Pub,94,         0,         0,  26.7,*,93,         1,         7,  36.4,*,92,         3,         8,  42.1,*,C,,,01,06
030051,ARKANSAS BEAUTY SCHOOL,,5108 BASELINE,LITTLE ROCK,AR,72209,1 yr/Prop,94,         3,         5,  26.1,*,93,         3,        15,  15.8,*,92,         0,         3,   0.0,,C,,,02,06
023398,SOUTHERN INSTITUTE OF COSMETOLOGY,,"410 W TYLER ST, #11",WEST MEMPHIS,AR,72301,1 yr/Prop,94,         0,         2,  25.0,*,93,         2,         8,  35.3,*,92,         3,        10,  39.6,*,C,,,01,06
023482,MID-SOUTH COMMUNITY COLLEGE,,"2000 WEST BROADWAY, POB 2067",WEST MEMPHIS,AR,72301,1 yr/Pub,94,         1,         3,  22.9,*,93,         2,        10,  27.5,*,92,         5,        22,  28.6,*,C,,,01,06
022024,PROFESSIONAL COSMETOLOGY EDUCATION,CENTER,1124 W WASHINGTON,CAMDEN,AR,71701,1 yr/Prop,94,         2,         8,  22.9,*,93,         3,        19,  25.4,*,92,         6,        21,  35.0,*,C,,,04,06
001086,UNIVERSITY OF ARKANSAS AT PINE BLUF,F,UNIVERSITY DR,PINE BLUFF,AR,71601,4 yr/Pub,94,       175,       764,  22.9,,93,       184,       817,  22.5,,92,       175,       965,  18.1,,H,,F,04,06
005732,RED RIVER TECHNICAL COLLEGE,,PO BOX 140,HOPE,AR,71801,1 yr/Pub,94,        19,        86,  22.1,,93,        12,        49,  24.5,,92,        15,        68,  22.1,,C,,D,04,06
022724,EASTERN COLLEGE OF HEALTH VOCATIONS,,6423 FORBING ROAD,LITTLE ROCK,AR,72209,1 yr/Prop,94,        85,       393,  21.6,,93,        97,       440,  22.0,,92,        89,       339,  26.3,,,,F,02,06
001103,PHILANDER SMITH COLLEGE,,812 W 13TH ST,LITTLE ROCK,AR,72203,4 yr/Priv,94,        26,       121,  21.5,,93,        21,       107,  19.6,,92,        27,       119,  22.7,,H,,B,02,06
005245,PETIT JEAN TECHL COLG,,HIGHWAY 9 N POB 586,MORRILTON,AR,72110,1 yr/Pub,94,         9,        42,  21.4,,93,         9,        34,  26.5,,92,        15,        75,  20.0,,,,F,02,06
021205,QUAPAW TECHL INST,,POB 3950,HOT SPRINGS NATIONAL,AR,71914,1 yr/Pub,94,         1,        25,  20.9,*,93,        19,        65,  29.2,,92,        13,        68,  19.1,,,,F,04,06
005250,COTTON BOLL TECHL INST,,POB 36,BURDETTE,AR,72321,1 yr/Pub,94,         2,        15,  20.4,*,93,        11,        39,  28.2,,92,         6,        39,  15.4,,C,,,01,06
023431,NORTHWEST ARKANSAS COLG OF COSMETOL,OGY,821 S MT OLIVE,SILOAM SPRINGS,AR,72761,1 yr/Prop,94,         1,         3,  20.0,*,93,         0,         5,  33.3,*,92,         1,         2,  59.1,*,C,,,03,06
022604,BEE JAY'S HAIRSTYLING ACADEMY,,1907 HINSON LOOP,LITTLE ROCK,AR,72212,1 yr/Prop,94,         1,         5,  20.0,*,93,         1,         6,  21.3,*,92,         5,        24,  22.0,*,,,F,02,06
022118,FOREST ECHOES TECHL INST,,1326 HWY 52 W,CROSSETT,AR,71635,1 yr/Pub,94,         0,         1,  20.0,*,93,         2,         8,  21.4,*,92,         0,         1,  16.7,*,,,F,04,06
030013,MARCELL ROYALE BEAUTY ACDMY,,2004 S 8TH ST,ROGERS,AR,72756,600 hr/Prop,94,         3,        12,  19.4,*,93,         4,        14,  15.4,*,92,         0,        10,   0.0,*,,,F,03,06
012260,EAST ARKANSAS COMMUNITY COLLEGE,,NEWCASTLE RD,FORREST CITY,AR,72335,2 yr/Pub,94,        20,       105,  19.0,,93,        25,       136,  18.4,,92,        23,       167,  13.8,,,,B,01,06
007738,SOUTHERN ARKANSAS UNIV TECHL,,SAU TECH STA,CAMDEN,AR,71701,2 yr/Pub,94,        12,        65,  18.5,,93,         3,        44,   6.8,,92,         8,        30,  26.7,,,,F,04,06
001093,CENTRAL BAPTIST COLLEGE,,1501 COLLEGE AVENUE,CONWAY,AR,72032,4 yr/Priv,94,         7,        38,  18.4,,93,         2,        26,  10.1,*,92,         3,        31,   9.7,,,,F,02,06
009976,OUACHITA TECHNICAL COLLEGE,,PO BOX 816,MALVERN,AR,72104,1 yr/Pub,94,         1,        16,  17.3,*,93,         9,        37,  24.3,,92,         3,        22,  20.0,*,,,F,04,06
020870,OZARKA TECHL COLG,,POB H,MELBOURNE,AR,72556,1 yr/Pub,94,         2,         6,  17.2,*,93,         4,        25,  18.1,*,92,         5,        33,  15.2,,,,F,01,06
012860,MISSISSIPPI COUNTY COMMUNITY COLLEG,E,PO BOX 1109,BLYTHEVILLE,AR,72316,2 yr/Pub,94,        25,       149,  16.8,,93,        36,       178,  20.2,,92,        31,       154,  20.1,,,,F,01,06
020746,SOUTHERN ARKANSAS CMNTY COLG,,300 SW AVE,EL DORADO,AR,71730,2 yr/Pub,94,        22,       138,  15.9,,93,        16,        75,  21.3,,92,         8,        63,  12.7,,,,F,04,06
007862,PAT GOINS JONESBORO BEAUTY SCHL,,3512 E NETTLETON,JONESBORO,AR,72401,1 yr/Prop,94,         3,        25,  14.7,*,93,         3,        21,  24.6,*,92,         4,        22,  33.3,*,,,F,01,06
