GSL_ID,NAME,SUB_NAME,ADDR,CITY,STATE,ZIP,TYPE_CNTRL,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,FLAG_1,FLAG_2,CONG_DIST,REGION
021997,INTERNATIONAL BIBLE COLLEGE,,PO BOX IBC,FLORENCE,AL,35630,4 yr/Priv,93,         1,        10,  12.8,*,92,         2,        21,  10.5,*,91,         3,        16,   9.4,*,,,05,04
001026,MARION MILITARY INSTITUTE,,WASHINGTON STREET,MARION,AL,36756,2 yr/Priv,93,         5,        45,  11.1,,92,        16,        81,  19.8,,91,        10,        88,  11.4,,,,07,04
007871,GEORGE C WALLACE STATE COMMUNITY,COLLEGE,801 MAIN ST NW,HANCEVILLE,AL,35077,2 yr/Pub,93,         4,        37,  10.8,,92,         4,        57,   7.0,,91,        16,       104,  15.4,,,,04,04
001024,LIVINGSTON UNIVERSITY,,205 N WASHINGTON,LIVINGSTON,AL,35470,5 yr/Pub,93,        37,       349,  10.6,,92,        28,       291,   9.6,,91,        39,       312,  12.5,,,,07,04
001047,TROY STATE UNIV,,UNIV AVE,TROY,AL,36082,5 yr/Pub,93,        68,       642,  10.6,,92,        51,       529,   9.6,,91,        44,       450,   9.8,,,,02,04
001033,OAKWOOD COLLEGE,,"OAKWOOD RD, NW",HUNTSVILLE,AL,35896,4 yr/Priv,93,        38,       362,  10.5,,92,        59,       418,  14.1,,91,        41,       378,  10.8,,H,,05,04
001015,ENTERPRISE STATE JUNIOR COLLEGE,,PO BOX 1300,ENTERPRISE,AL,36331,2 yr/Pub,93,         1,        18,  10.4,*,92,         5,        29,   7.8,*,91,         1,        20,   6.9,*,,,02,04
001041,SPRING HILL COLLEGE,,4000 DAUPHIN ST,MOBILE,AL,36608,5 yr/Priv,93,        23,       224,  10.3,,92,        15,       224,   6.7,,91,        13,       203,   6.4,,,,01,04
001020,JACKSONVILLE STATE UNIVERSITY,,,JACKSONVILLE,AL,36265,5 yr/Pub,93,        94,       926,  10.2,,92,        87,       850,  10.2,,91,        80,       738,  10.8,,,,03,04
008310,AUBURN UNIVERSITY AT MONTGOMERY,,7200 UNIVERSITY DR,MONTGOMERY,AL,36117,4 yr/Pub,93,        58,       591,   9.8,,92,        40,       495,   8.1,,91,        62,       511,  12.1,,,,02,04
022960,PRINCE INSTITUTE OF PROFESSIONAL,STUDIES,7735 ATLANTA HIGHWAY,MONTGOMERY,AL,36117,3 yr/Prop,93,         4,        41,   9.8,,92,         1,        41,   2.4,,91,         5,        59,   8.5,,,,00,04
012182,CHATTAHOOCHEE VALLEY STATE,COMMUNITY COLLEGE,2602 SAVAGE DR,PHENIX CITY,AL,36867,2 yr/Pub,93,         0,         5,   9.1,*,92,         1,         7,  11.4,*,91,         1,        10,  16.4,*,,,03,04
005749,ALABAMA AVIATION & TECHNICAL,COLLEGE,"1439 S UNION ST, PO BOX 1209",OZARK,AL,36361,2 yr/Pub,93,         5,        58,   8.6,,92,         3,        58,   5.2,,91,        11,        82,  13.4,,,,02,04
001003,FAULKNER UNIVERSITY,,5345 ATLANTA HWY,MONTGOMERY,AL,36109,5 yr/Priv,93,        41,       475,   8.6,,92,        58,       503,  11.5,,91,        45,       504,   8.9,,,,02,04
001004,UNIVERSITY OF MONTEVALLO,,STATION 6001,MONTEVALLO,AL,35115,5 yr/Pub,93,        30,       356,   8.4,,92,        18,       298,   6.0,,91,        20,       304,   6.6,,,,00,04
025034,SOUTHERN CHRISTIAN UNIVERSITY,,"1200 TAYLOR RD, PO BOX 240240",MONTGOMERY,AL,36117,5 yr/Priv,93,         3,        29,   8.2,*,92,         2,        27,   6.3,*,91,         2,        29,   5.4,*,,,00,04
001057,UNIVERSITY OF SOUTH ALABAMA,,"307 UNIVERSITY BLVD, 170 CSAB",MOBILE,AL,36688,5 yr/Pub,93,       107,      1483,   7.2,,92,       102,      1340,   7.6,,91,       124,      1439,   8.6,,,,01,04
001017,GADSDEN STATE COMMUNITY COLLEGE,,GEORGE WALLACE DR,GADSDEN,AL,35999,2 yr/Pub,93,         3,        52,   5.8,,92,         1,        16,  12.4,*,91,         2,        30,   6.7,,,,04,04
001051,UNIV OF ALABAMA,,,TUSCALOOSA,AL,35487,4 yr/Pub,93,       134,      2419,   5.5,,92,       144,      2161,   6.7,,91,       137,      2210,   6.2,,,,07,04
001008,ATHENS STATE COLLEGE,,BEATY STREET,ATHENS,AL,35611,4 yr/Pub,93,        11,       211,   5.2,,92,         4,       150,   2.7,,91,         2,       138,   1.4,,,,05,04
001016,UNIVERSITY OF NORTH ALABAMA,,,FLORENCE,AL,35632,5 yr/Pub,93,        27,       546,   4.9,,92,        43,       535,   8.0,,91,        43,       501,   8.6,,,,05,04
001023,JUDSON COLLEGE,,220 BIBB STREET,MARION,AL,36756,4 yr/Priv,93,         3,        63,   4.8,,92,         1,        50,   2.0,,91,         4,        67,   6.0,,,,07,04
001012,BIRMINGHAM-SOUTHERN COLLEGE,,900 ARKADELPHIA RD,BIRMINGHAM,AL,35254,5 yr/Priv,93,         7,       156,   4.5,,92,         5,       158,   3.2,,91,         7,       206,   3.4,,,,07,04
001048,TROY STATE UNIVERSITY,,UNIVERSITY AVENUE,TROY,AL,36082,5 yr/Pub,93,         6,       132,   4.5,,92,         5,       115,   4.3,,91,        10,       107,   9.3,,,,02,04
001055,UNIVERSITY OF ALABAMA IN HUNTSVILLE,,124 UNIVERSITY CENTER,HUNTSVILLE,AL,35899,5 yr/Pub,93,        19,       421,   4.5,,92,        20,       439,   4.6,,91,        21,       440,   4.8,,,,05,04
001029,UNIVERSITY OF MOBILE,,"5735 COLLEGE PKY, POB 13220",MOBILE,AL,36663,5 yr/Priv,93,        13,       298,   4.4,,92,        19,       261,   7.3,,91,        19,       269,   7.1,,,,01,04
001009,AUBURN UNIVERSITY,,209 SAMFORD HALL,AUBURN,AL,36849,5 yr/Pub,93,        73,      1822,   4.0,,92,        74,      1747,   4.2,,91,        69,      1675,   4.1,,,,03,04
001049,"TROY STATE UNIVERSITY, MONTGOMERY",,PO DRAWER 4419,MONTGOMERY,AL,36103,5 yr/Pub,93,         2,        62,   3.2,,92,         4,        53,   7.5,,91,         3,        49,   6.1,,,,07,04
001036,SAMFORD UNIVERSITY,,800 LAKESHORE DR,BIRMINGHAM,AL,35229,4 yr/Priv,93,        29,       923,   3.1,,92,        28,       747,   3.7,,91,        31,       738,   4.2,,,,06,04
001019,HUNTINGDON COLLEGE,,1500 E FAIRVIEW AVE,MONTGOMERY,AL,36194,4 yr/Priv,93,         2,        82,   2.4,,92,         3,        84,   3.6,,91,         4,        95,   4.2,,,,02,04
021706,UNITED STATES SPORTS ACADEMY,,ONE ACADEMY DR,DAPHNE,AL,36526,5 yr/Priv,93,         2,       105,   1.9,,92,         3,       117,   2.6,,91,         3,       119,   2.5,,,,01,04
006155,COOSA VALLEY MEDICAL CENTER SCHOOL,OF NURSING,S MOBILE AVE,SYLACAUGA,AL,35150,2 yr/Pub,93,         0,        19,   0.0,*,92,         0,        13,   0.0,*,91,         0,         8,   4.5,*,,,03,04
005260,J F DRAKE STATE TECHNICAL COLLEGE,,3421 MERIDIAN ST N,HUNTSVILLE,AL,35811,2 yr/Pub,93,         0,         0,   0.0,*,92,         0,         0,  50.0,*,91,         0,         0,  20.0,*,H,,05,04
030325,ALABAMA STATE COLLEGE OF BARBER,STYLING,"9480 PARKWAY, E",BIRMINGHAM,AL,35215,1 yr/Prop,93,         0,         3,   0.0,,92,         0,         0,   0.0,,91,       N/A,       N/A,   N/A,,,,00,04
030280,"HUNTSVILLE BUSINESS INSTITUTE, SCH",OF COURT REPORTING,"3315 S MEMORIAL PKWY, STE 5",HUNTSVILLE,AL,35801,3 yr/Prop,93,         0,         6,   0.0,,92,       N/A,       N/A,   N/A,,91,       N/A,       N/A,   N/A,,,,05,04
022842,NEW TYLER BARBER COLG,,1221 E 7TH ST,NORTH LITTLE ROCK,AR,72114,1 yr/Prop,93,        13,        28,  49.3,*,92,        28,        52,  53.8,,91,        27,        58,  46.6,,C,,02,06
007044,CROWLEYS RIDGE TECHL INST,,POB 925,FORREST CITY,AR,72335,1 yr/Pub,93,         5,        27,  41.3,*,92,        30,        71,  42.3,,91,        29,        57,  50.9,,C,,01,06
001087,ARKANSAS BAPTIST COLG,,1600 HIGH ST,LITTLE ROCK,AR,72202,4 yr/Priv,93,        41,       102,  40.2,,92,        34,        94,  36.2,,91,        48,       108,  44.4,,H,,02,06
001105,SHORTER COLG,,604 N LOCUST ST,NORTH LITTLE ROCK,AR,72114,2 yr/Priv,93,         0,         5,  38.1,*,92,        27,        63,  42.9,,91,         5,        16,  47.3,*,H,,02,06
021977,PAT GOINS PINE BLUFF BEAUTY SCHL,,2801 S OLIVE #3A,PINE BLUFF,AR,71601,600 hr/Prop,93,         2,         3,  37.8,*,92,         8,        22,  38.1,*,91,         7,        20,  45.2,*,C,,04,06
025991,REMINGTON COLG,,7601 SCOTT HAMILTON DR,LITTLE ROCK,AR,72209,2 yr/Priv,93,       148,       407,  36.4,,92,       262,       849,  30.9,,91,       198,       631,  31.4,,,,02,06
021459,RICE BELT VOCNL SCHL,,POB 427,DE WITT,AR,72042,2 yr/Pub,93,         1,         7,  36.4,*,92,         3,         8,  42.1,*,91,         4,         7,  38.5,*,,,01,06
023398,SOUTHERN INST OF COSMETOLOGY,,410 W TYLER ST 11,WEST MEMPHIS,AR,72301,1 yr/Prop,93,         2,         8,  35.3,*,92,         3,        10,  39.6,*,91,         7,        16,  35.2,*,C,,01,06
023431,NORTHWEST ARKANSAS COLLEGE OF,COSMETOLOGY,821 S MT OLIVE,SILOAM SPRINGS,AR,72761,1 yr/Prop,93,         0,         5,  33.3,*,92,         1,         2,  59.1,*,91,         3,         5,  62.1,*,C,,03,06
021205,QUAPAW TECHL INST,,POB 3950,HOT SPRINGS NATIONAL,AR,71914,1 yr/Pub,93,        19,        65,  29.2,,92,        13,        68,  19.1,,91,        18,        66,  27.3,,,,04,06
023635,ARKANSAS CONTINENTAL BEAUTY SCHL,,2000 N B ST,FT SMITH,AR,72901,1 yr/Prop,93,         3,        11,  28.6,*,92,         2,         5,  32.3,*,91,         7,        26,  29.4,*,C,,03,06
030234,ARKANSAS COLG OF BARBERING & HAIR,DESIGN,200 WASHINGTON AVE,NORTH LITTLE ROCK,AR,72114,1 yr/Prop,93,         1,         5,  28.6,*,92,         1,         2,  50.0,,91,         0,         0,   0.0,,,,02,06
005250,COTTON BOLL TECHL INST,,POB 36,BURDETTE,AR,72321,1 yr/Pub,93,        11,        39,  28.2,,92,         6,        39,  15.4,,91,        26,        57,  45.6,,C,,01,06
023482,MID-SOUTH COMMUNITY COLLEGE,,"2000 WEST BROADWAY, POB 2067",WEST MEMPHIS,AR,72301,1 yr/Pub,93,         2,        10,  27.5,*,92,         5,        22,  28.6,*,91,         7,        19,  34.3,*,C,,01,06
005245,PETIT JEAN TECHL COLG,,HIGHWAY 9 N POB 586,MORRILTON,AR,72110,1 yr/Pub,93,         9,        34,  26.5,,92,        15,        75,  20.0,,91,        21,        58,  36.2,,,,02,06
007862,PAT GOINS JONESBORO BEAUTY SCHL,,3512 E NETTLETON,JONESBORO,AR,72401,1 yr/Prop,93,         3,        21,  25.9,*,92,         4,        22,  34.3,*,91,         8,        15,  37.2,*,,,01,06
022024,PROFESSIONAL COSMETOLOGY EDUCATION,CENTER,1124 W WASHINGTON,CAMDEN,AR,71701,1 yr/Prop,93,         3,        19,  25.4,*,92,         6,        21,  35.0,*,91,         6,        19,  36.5,*,C,,04,06
021111,RICH MOUNTAIN COMMUNITY COLLEGE,,6601 BUSH ST POB 1347,MENA,AR,71953,2 yr/Pub,93,        12,        49,  24.5,,92,         6,        47,  12.8,,91,         5,        36,  13.9,,,,03,06
009976,OUACHITA TECHNICAL COLLEGE,,PO BOX 816,MALVERN,AR,72104,1 yr/Pub,93,         9,        37,  24.3,,92,         3,        22,  20.0,*,91,         5,        25,  20.3,*,,,04,06
030071,HOT SPRINGS BEAUTY COLLEGE,,634 MALVERN AVE,HOT SPRINGS,AR,71901,600 hr/Prop,93,         8,        33,  24.2,,92,         2,        23,   8.7,,91,         0,         2,   0.0,,,,04,06
001086,UNIV OF ARKANSAS PINE BLUFF,,UNIV DR,PINE BLUFF,AR,71601,4 yr/Pub,93,       184,       817,  22.5,,92,       175,       965,  18.1,,91,       194,       796,  24.4,,H,,04,06
022724,EASTERN COLLEGE OF HEALTH VOCATIONS,,6423 FORBING RD,LITTLE ROCK,AR,72209,1 yr/Prop,93,        97,       441,  22.0,,92,        91,       321,  28.3,,91,       143,       402,  35.6,,,,02,06
022118,FOREST ECHOES TECHL INST,,1326 HWY 52 W,CROSSETT,AR,71635,1 yr/Pub,93,         2,         8,  21.4,*,92,         0,         1,  16.7,*,91,         1,         5,  21.1,*,,,04,06
020746,SOUTHERN ARKANSAS CMNTY COLG,,300 SW AVE,EL DORADO,AR,71730,2 yr/Pub,93,        16,        75,  21.3,,92,         8,        63,  12.7,,91,         9,        48,  18.8,,,,04,06
022604,BEE JAYS HAIRSTYLING ACDMY,,1907 HINSON LOOP,LITTLE ROCK,AR,72212,1 yr/Prop,93,         1,         6,  21.3,*,92,         5,        24,  22.0,*,91,         4,        17,  20.0,*,,,02,06
007921,FAYETTEVILLE BEAUTY COLG,,1200 N COLG AVE,FAYETTEVILLE,AR,72701,600 hr/Prop,93,         1,         6,  20.5,*,92,         1,        15,  21.7,*,91,         6,        18,  29.3,*,,,03,06
012860,MISSISSIPPI COUNTY CMNTY COLG,,POB 1109,BLYTHEVILLE,AR,72316,2 yr/Pub,93,        36,       178,  20.2,,92,        31,       154,  20.1,,91,        20,       116,  17.2,,,,01,06
012105,GARLAND COUNTY COMMUNITY COLLEGE,,1 COLLEGE DR MID AMERICA PK,HOT SPRINGS NATL,AR,71913,2 yr/Pub,93,        45,       229,  19.7,,92,        16,       176,   9.1,,91,        24,       175,  13.7,,,,04,06
025258,LEES SCHL OF COSMETOLOGY,,2700 W PERSHING BLVD,NORTH LITTLE ROCK,AR,72114,1 yr/Prop,93,         3,        12,  19.6,*,92,         5,        14,  23.0,*,91,         3,        30,  10.0,,,,02,06
001103,PHILANDER SMITH COLG,,812 W 13TH ST,LITTLE ROCK,AR,72203,4 yr/Priv,93,        21,       107,  19.6,,92,        27,       119,  22.7,,91,        30,       111,  27.0,,H,,02,06
020753,PULASKI TECHNICAL COLLEGE,,3000 W SCENIC DR,NORTH LITTLE ROCK,AR,72118,1 yr/Pub,93,         3,        25,  19.0,*,92,         7,        32,  21.9,,91,         6,        27,  22.0,*,,,02,06
020737,NORTHWEST TECHL INST,,HWY 265 & FORD AVE PO DRAWER A,SPRINGDALE,AR,72764,1 yr/Pub,93,         5,        20,  18.8,*,92,         2,        33,   6.1,,91,        11,        43,  25.6,,,,03,06
012260,EAST ARKANSAS COMMUNITY COLLEGE,,NEWCASTLE RD,FORREST CITY,AR,72335,2 yr/Pub,93,        25,       136,  18.4,,92,        23,       167,  13.8,,91,        37,       138,  26.8,,,,01,06
020870,OZARKA TECHL COLG,,POB H,MELBOURNE,AR,72556,1 yr/Pub,93,         4,        25,  18.1,*,92,         5,        33,  15.2,,91,         6,        25,  23.0,*,,,01,06
006308,WHITE RIVER VOCNL TECHL SCHL,,POB 1120,NEWPORT,AR,72112,1 yr/Pub,93,         2,         8,  17.9,*,92,         1,        17,  24.2,*,91,         4,        14,  30.2,*,,,01,06
020522,BLACK RIVER TECHL COLG,,POB 468,POCAHONTAS,AR,72455,1 yr/Pub,93,         8,        46,  17.4,,92,         4,        35,  11.4,,91,        11,        40,  27.5,,,,01,06
025385,ARTHUR'S BEAUTY COLLEGE,,2600 JOHN HARDEN DR,JACKSONVILLE,AR,72076,1 yr/Prop,93,         0,        11,  17.2,*,92,         3,        24,  23.2,*,91,         8,        29,  27.1,*,,,02,06
025327,STEVE EARLE BEAUTY COLLEGE,,301 S COLLEGE,STUTTGART,AR,72160,1 yr/Prop,93,         0,         1,  15.8,*,92,         0,         4,  25.9,*,91,         3,        14,  24.1,*,,,01,06
030013,MARCELL ROYALE BEAUTY ACDMY,,2004 S 8TH ST,ROGERS,AR,72756,600 hr/Prop,93,         4,        14,  15.4,*,92,         0,        10,   0.0,*,91,         0,         2,   0.0,,,,03,06
010741,MELLIES BEAUTY COLG,,311 S 16TH ST,FT SMITH,AR,72901,600 hr/Prop,93,         0,         3,  15.0,*,92,         2,        10,  25.0,*,91,         1,         7,  26.2,*,C,,03,06
001107,SOUTHERN ARKANSAS UNIV,,HWY 19 N,MAGNOLIA,AR,71753,5 yr/Pub,93,        46,       316,  14.6,,92,        27,       206,  13.1,,91,        10,       139,   7.2,,,,04,06
001104,PHILLIPS COUNTY CMNTY COLG,,POB 785,HELENA,AR,72342,2 yr/Pub,93,        19,       134,  14.2,,92,        34,       155,  21.9,,91,        54,       196,  27.6,,,,01,06
021388,GREAT RIVERS VOCNL TECHL SCHL,,POB 747 HWY 1,MCGEHEE,AR,71654,1 yr/Pub,93,         0,         2,  13.3,*,92,         1,         9,  18.2,*,91,         1,         4,  10.0,*,,,04,06
001094,UNIV OF THE OZARKS,,415 COLG AVE,CLARKSVILLE,AR,72830,4 yr/Priv,93,        14,       111,  12.6,,92,        11,       112,   9.8,,91,        17,       115,  14.8,,,,03,06
005319,FOOTHILLS TECHNICAL INSTITUTE,,"1800 EAST MOORE ST, PO BOX 909",SEARCY,AR,72143,1 yr/Pub,93,         4,        33,  12.1,,92,        15,        56,  26.8,,91,        20,        68,  29.4,,C,,02,06
001090,ARKANSAS STATE UNIV,,PO DRAWER 2100,STATE UNIVERSITY,AR,72467,5 yr/Pub,93,       211,      1822,  11.6,,92,       151,      1780,   8.5,,91,       193,      1491,  12.9,,,,01,06
001106,WILLIAMS BAPTIST COLG,,FULLBRIGHT AVE POB 3661,WALNUT RIDGE,AR,72476,4 yr/Priv,93,        14,       125,  11.2,,92,        10,       125,   8.0,,91,        11,       106,  10.4,,,,01,06
005249,ARKANSAS VALLEY TECHL INST,,POB 506 HWY 23 N,OZARK,AR,72949,1 yr/Pub,93,         4,        37,  10.8,,92,         4,        40,  10.0,,91,        19,        69,  27.5,,,,03,06
007043,DELTA TECHL INST,,POB 280 HWY 63 W,MARKED TREE,AR,72365,1 yr/Pub,93,         1,        23,  10.6,*,92,         3,        30,  10.0,,91,         5,        32,  15.6,,,,01,06
020735,GATEWAY TECHL COLG,,POB 3350 2005 WHITE DR,BATESVILLE,AR,72503,1 yr/Pub,93,         3,        18,  10.3,*,92,         0,        27,   8.7,*,91,         5,        33,  15.2,,,,04,06
001085,UNIV OF ARKANSAS MONTICELLO,,,MONTICELLO,AR,71655,4 yr/Pub,93,        44,       431,  10.2,,92,        27,       351,   7.7,,91,        30,       310,   9.7,,,,04,06
001093,CENTRAL BAPTIST COLG,,CBC STA,CONWAY,AR,72032,4 yr/Priv,93,         2,        26,  10.1,*,92,         3,        31,   9.7,,91,         3,        22,  15.3,*,,,02,06
022209,COSSATOT TECHL COLG,,POB 746,DE QUEEN,AR,71832,1 yr/Pub,93,         2,         6,  10.0,*,92,         0,        16,  14.0,*,91,         1,         8,  24.6,*,,,03,06
