CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE,COUNTRY (FOREIGN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/1/93,692100,ST LUKES HOSPITAL,ST LUKES HOSPITAL,11311 SHAKER BOULEVARD,CLEVELAND,OH,44104,
1/1/93,1238900,UTICA SCHOOL FOR PRACTICAL NURSING,UTICA SCHOOL FOR PRACTICAL NURSING,24 PROSPECT ST,UTICA,NY,13501,
1/1/93,2152900,MEMPHIS PRO TRUCK DRIVER TRAINING COMPANY,MEMPHIS PRO TRUCK DRIVER TRAINING COMPANY,450 WINCHESTER ROAD,MEMPHIS,TN,38116,
1/1/96,2205302,SAVANNAH RIVER COLLEGE,KERR BUSINESS COLLEGE,3011 HOGANSVILLE HIGHWAY,LA GRANGE,GA,30240,
1/1/96,3014500,WEBER SCHOOL OF HAIR DESIGN,WEBER SCHOOL OF HAIR DESIGN,3910 - 25TH STREET,COLUMBUS,IN,47203,
1/1/97,1095800,HIGHLAND HILLS BEAUTY ACADEMY,HIGHLAND HILLS BEAUTY ACADEMY,5316 WEST 20TH STREET,GREELEY,CO,80631,
1/1/97,2134700,KINGS COUNTY HOSPITAL CENTER SCHOOL OF ANESTHESIA FOR NURSES,KINGS COUNTY HOSPITAL CTR SCH OF ANESTHESIA FOR NURSES,451 CLARKSON AVE T BLDG,BROOKLYN,NY,11203,
1/1/02,248907,MISSOURI VALLEY COLLEGE,MISSOURI VALLEY COLLEGE - BLUE SPRINGS CAMPUS OF METROPOLITAN COMM. CO,1501 WEST JEFFERSON STREET,BLUE SPRINGS,MO,64015-7242,
1/1/02,260705,FAIRLEIGH DICKINSON UNIVERSITY,FAIRLEIGH DICKINSON UNIVERSITY - ISRAEL,30 YIGAL ALON STREET,TEL AVIV,,,ISRAEL
1/1/02,323124,COMMUNITY COLLEGE OF ALLEGHENY COUNTY,COMMUNITY COLLEGE OF ALLEGHENY COUNTY - ALLEGHENY CAMPUS -,ARMSTRONG EDUCATIONAL TRUST WEST HILLS COMMONS-81 GLADE DRIVE,KITTANNING,PA,16021-0000,
1/1/02,793308,FRONT RANGE COMMUNITY COLLEGE,FRONT RANGE COMMUNITY COLLEGE - REMINGTON CAMPUS,1400 REMINGTON STREET,FORT COLLINS,CO,80524-4142,
1/1/03,905817,BETHEL UNIVERSITY,BETHEL UNIVERSITY - SITE 017,ROSEMOUNT COMMUNITY CENTER 13885 SOUTH ROBERT TRAIL,ROSEMOUNT,MN,55068-3438,
1/1/04,214705,EMMANUEL COLLEGE,EMMANUEL COLLEGE - CHARLESTOWN CAMPUS,DELTA DENTAL PLAN OF MA 465 MEDFORD STREET,CHARLESTOWN,MA,02129-1417,
1/1/04,323113,COMMUNITY COLLEGE OF ALLEGHENY COUNTY,COMMUNITY COLLEGE OF ALLEGHENY COUNTY -BOYCE CAMPUS,LENAPE VOC. TECHNICAL SCHOOL 2215 CHAPLIN AVENUE,FORD CITY,PA,16226-0000,
1/1/04,323125,COMMUNITY COLLEGE OF ALLEGHENY COUNTY,COMMUNITY COLLEGE OF ALLEGHENY COUNTY - ALLEGHENY CAMPUS -,STEEL CENTER AVTS 565 LEWIS RUN ROAD,CLAIRTON,PA,15015-0000,
1/1/04,323126,COMMUNITY COLLEGE OF ALLEGHENY COUNTY,COMMUNITY COLLEGE OF ALLEGHENY COUNTY - ALLEGHENY CAMPUS -,SOUTH VO. TECH. HIGH SCHOOL 930 EAST CARSON STREET,PITTSBURGH,PA,15203-0000,
1/1/04,323133,COMMUNITY COLLEGE OF ALLEGHENY COUNTY,COMMUNITY COLLEGE OF ALLEGHENY COUNTY - ALLEGHENY CAMPUS -,MON-VALLEY CENTER 993 FIFTH AVENUE,MCKEESPORT,PA,15132-0000,
1/1/05,3067209,UNIVERSITY OF SYDNEY,UNIVERSITY OF SYDNEY - ORANGE CAMPUS,LEEDS PARADE,ORANGE,,,AUSTRALIA
1/1/06,854707,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 7,IVY TECH COMMUNITY COLLEGE OF INDIANA - REGION 7 - THE MEADOWS CTR,25TH & POPLAR,TERRE HAUTE,IN,47803-2653,
1/1/07,190904,CLOUD COUNTY COMMUNITY COLLEGE,CLOUD COUNTY COMMUNITY COLLEGE - GREEN PARK APARTMENTS,1439 NORTH CALHOUN STREET,JUNCTION CITY,KS,66441-5218,
1/1/07,190906,CLOUD COUNTY COMMUNITY COLLEGE,CLOUD COUNTY COMMUNITY COLLEGE - HERINGTON EDUCATION CENTER,715 SOUTH BROADWAY,HERINGTON,KS,67449-3059,
1/1/07,190907,CLOUD COUNTY COMMUNITY COLLEGE,CLOUD COUNTY COMMUNITY COLLEGE - WACONDA EAST HIGH SCHOOL,913 7TH STREET,CAWKER CITY,KS,66968-9620,
1/1/07,1041801,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,ITESM - CAMPUS GUAYMAS,BAHIA DEL BACOCHIBAMPO,SONORA,,,MEXICO
1/1/07,2586800,HARRISON CAREER INSTITUTE-,HARRISON CAREER INSTITUTE-,1386 SOUTH DELSEA DRIVE,VINELAND,NJ,08360-6210,
1/1/07,3105702,NEWBRIDGE COLLEGE - MONTEREY PARK,NEWBRIDGE COLLEGE - MONTEREY PARK - STANTON,12362 BEACH BOULEVARD SUITE 100,STANTON,CA,90680-3900,
1/1/08,182601,PURDUE UNIVERSITY - NORTH CENTRAL,PURDUE UNIVERSITY NORTH CENTRAL - PORTAGE WEST HIGH SCHOOL,6400 EAST US HIGHWAY 6,PORTAGE,IN,46368-5198,
1/1/08,190227,COWLEY COUNTY COMMUNITY COLLEGE & AREA VOCATIONAL TECHNICAL SCHOOL,COWLEY COUNTY COMMUNITY COLLEGE & AREA VOCATIONAL TECHNICAL SCHOOL -,PIONEER VO-TECH CAMPUS 2101 NORTH ASH,PONCA CITY,OK,74601-0000,
1/1/08,460849,BARTON COUNTY COMMUNITY COLLEGE,BARTON COUNTY COMMUNITY COLLEGE - COMANCHE COUNTY AMBULANCE SERVICE,401 NORTH CENTRAL,COLDWATER,KS,67029-0685,
1/1/08,1146002,NATIONAL UNIVERSITY,NATIONAL UNIVERSITY - #4121,4121 CAMINO DEL RIO SOUTH,SAN DIEGO,CA,92108-4194,
1/1/08,1146004,NATIONAL UNIVERSITY,NATIONAL UNIVERSITY - #4141,4141 CAMINO DEL RIO SOUTH,SAN DIEGO,CA,92108-4194,
1/1/08,12098821,UNIVERSITY OF PHOENIX,UNIVERSITY OF PHOENIX - ORO GRANDE ELEMENTARY SCHOOL (OTL),1250 PAWNEE DRIVE,LAKE HAVASU CITY,AZ,86406-8764,
1/1/08,20166460,UNIVERSITY OF SAINT FRANCIS,UNIVERSITY OF SAINT FRANCIS - KINDRED HOSPITAL FLAMINGO,2250 FLAMINGO ROAD,LAS VEGAS,NV,89119-5117,
1/1/08,20166466,UNIVERSITY OF SAINT FRANCIS,UNIVERSITY OF SAINT FRANCIS - MINOOKA HIGH SCHOOL,301 SOUTH WABENA AVENUE,MINOOKA,IL,60447-9466,
1/1/09,2219502,MILDRED ELLEY,MILDRED ELLEY  -  GLENMONT JOB CORPS,822 RIVER ROAD,GLENMONT,NY,12077-0000,
1/1/09,3108103,SUMMIT COLLEGE,SUMMIT CAREER COLLEGE-,760 VIA LATA,COLTON,CA,92324-3913,
1/1/11,130702,FRESNO CITY COLLEGE,FRESNO CITY COLLEGE - MANCHESTER EDUCATIONAL RESOURCE CENTER,1901 E. SHIELDS,FRESNO,CA,93726-5313,
1/1/11,1265203,ONONDAGA CORTLAND MADISON BOCES,ONONDAGA CORTLAND MADISON BOCES-CORTLAND,CLINTON AVENUE EXTENSION,CORTLAND,NY,13045-9618,
1/2/91,2273501,NORTHWEST SCHOOLS,TRAINING SITE,1700 E THOMAS RD,PHOENIX,AZ,85016,
1/2/92,191604,FORT SCOTT COMMUNITY COLLEGE,FORT SCOTT COMMUNITY COLLEGE - TRUCK DRIVING CENTER,1401 FAIRFAX TRAFFICWAY ROOM 362,KANSAS CITY,KS,66115-1405,
1/2/92,2256600,DEBBIE'S SCHOOL OF BEAUTY CULTURE,DEBBIE'S SCHOOL OF BEAUTY CULTURE,7050 S LAFAYETTE AVE,CHICAGO,IL,60621,
1/2/92,2284000,PAINTERS COLLEGE OF BEAUTY,PAINTERS COLLEGE OF BEAUTY,PO BOX 203,ROY,UT,84067,
1/2/92,2504400,VOCATIONAL INSTITUTE,VOCATIONAL INSTITUTE,3810 WEST 12TH AVENUE,HIALEAH,FL,33012,
1/2/95,2262275,NATIONAL ACADEMY FOR PARALEGAL STUDIES,WINTHROP COLG,209 TILLMAN,ROCK HILL,SC,29733,
1/2/95,2539801,QUEEN CITY COLLEGE,QUEEN CITY COLLEGE,800 HIGHWAY 1 SOUTH,GREENVILLE,MS,38701-0000,
1/2/96,1200200,ACADEMY OF COSMETOLOGY,ACADEMY OF COSMETOLOGY,14352 LAKE CITY WAY NE,SEATTLE,WA,98125,
1/2/96,1210000,VOGUE COLLEGE #31,VOGUE COLLEGE #31,7302 BURNET ROAD,AUSTIN,TX,78757,
1/2/97,180510,INDIANA INSTITUTE OF TECHNOLOGY,INDIANA INSTITUTE OF TECHNOLOGY,207 N. ELKHART STREET C/O NORTHWOOD MIDDLE SCHOOL,WAKARUSA,IN,46573-9729,
1/2/97,180513,INDIANA INSTITUTE OF TECHNOLOGY,INDIANA INSTITUTE OF TECHNOLOGY -,902 N. MARKET STREET C/O SEWARD MEMORIAL BLDG.,NORTH MANCHESTER,IN,46962-0000,
1/2/97,2610600,TUALATIN COLLEGE OF BEAUTY,TUALATIN COLLEGE OF BEAUTY,19350 SOUTHWEST BOONES FERRY ROAD,TUALATIN,OR,97062,
1/2/01,3354300,BETA TRAINING SERVICES,BETA TRAINING SERVICES,10 W. BALTIMORE AVENUE SUITE 101,LANSDOWNE,PA,19052-2155,
1/2/07,3004700,MUNDUS INSTITUTE,MUNDUS INSTITUTE,2001 WEST CAMELBACK SUITE 400,PHOENIX,AZ,85015-3665,
1/2/08,528203,TENNESSEE TECHNOLOGY CENTER AT HARTSVILLE,TENNESSEE TECHNOLOGY CENTER AT HARTSVILLE -,401 NORTH BOYERS AVENUE,GALLATIN,TN,37066-2389,
1/3/87,631400,MARYLAND GENERAL HOSPITAL SCHOOL OF NURSING,MARYLAND GENERAL HOSPITAL SCHOOL OF NURSING,847 NORTH HOWARD STREET,BALTIMORE,MD,21201,
1/3/87,2318700,BURNSIDE-OTT AVIATION TRAIN CTR,BURNSIDE-OTT AVIATION TRAIN CTR,14100 SW 129 ST,MIAMI,FL,33186,
1/3/94,2348100,PALMER BUSINESS INSTITUTE,PALMER BUSINESS INSTITUTE,1457 MANHEIM PIKE,LANCASTER,PA,17601,
1/3/94,2602000,NEON ART & TUBE BENDING SCHOOL,NEON ART & TUBE BENDING SCHOOL,2014 LLOYD CENTER,PORTLAND,OR,97232,
1/3/95,1157001,PIMA MEDICAL INSTITUTE - MESA,AZTECH COLLEGE,2201 SAN PEDRO NE BUILDING #3,ALBUQUERQUE,NM,87110,
1/3/95,2169200,EUROPEAN AMERICAN BEAUTY SCHOOL,EUROPEAN AMERICAN BEAUTY SCHOOL,4 WEBER AVENUE,MALVERNE,NY,11565,
1/3/95,2262264,NATIONAL ACADEMY FOR PARALEGAL STUDIES,RHODE ISLAND COLG,MT PLEASANT AVE,PROVIDENCE,RI,2901,
1/3/95,3027600,EXXEL COLLEGE OF BUSINESS,EXXEL COLLEGE OF BUSINESS,2975 WILSHIRE BOULEVARD SUITE 200,LOS ANGELES,CA,90010,
1/3/95,3027601,EXXEL COLLEGE OF BUSINESS,EXXEL COLLEGE OF BUSINESS,2525 COLORADO BOULEVARD,EAGLEROCK,CA,90041,
1/3/97,2071400,SAINT LOUIS TECHNICAL CAREER COLLEGE,ST LOUIS TECHNICAL CAREER COLLEGE,9741 SAINT CHARLES ROCK ROAD,SAINT LOUIS,MO,63114-2625,
1/3/07,193906,NEWMAN UNIVERSITY,NEWMAN UNIVERSITY - HUTCHINSON,115 EAST 2ND STREET,HUTCHINSON,KS,67504-1942,
1/4/90,1032100,LYONS INST,LYONS INST,320 MAIN ST,HACKENSACK,NJ,7601,
1/4/90,2054600,CALIFORNIA BEAUTY COLLEGE,CALIFORNIA BEAUTY COLLEGE,1805 ARNOLD DRIVE,MARTINEZ,CA,94553,
1/4/90,2080104,UNITED COLLEGE,UNITED COLLEGE,2500 HAMPTON AVENUE,SAINT LOUIS,MO,63139,
1/4/90,2108700,CHESAPEAKE BUSINESS INSTITUTE,CHESAPEAKE BUSINESS INSTITUTE,5408 SILVER HILL ROAD,FORESTVILLE,MD,20747,
1/4/90,2607200,UNITED COLLEGE,UNITED COLLEGE,2500 HAMPTON AVENUE,SAINT LOUIS,MO,63139,
1/4/91,2134600,GENERAL EDUCATION & TRAINING HOME STUDY,GENERAL EDUCATION & TRAINING HOME STUDY,12100 GRANDVIEW ROAD,GRANDVIEW,MO,64030,
1/4/91,2177600,PRO CAREER CENTER,PRO CAREER CENTER,1011 NORTHWEST 9TH AVENUE,FORT LAUDERDALE,FL,33311,
1/4/91,2219700,CORTEZ W PETERS BUSINESS COLLEGE OF CHICAGO,CORTEZ W PETERS BUSINESS COLLEGE OF CHICAGO,1633 W 95TH ST,CHICAGO,IL,60643,
1/4/91,2601200,GENERAL EDUCATION & TRAINING RESIDENT PROGRAM,GENERAL EDUCATION & TRAINING RESIDENT PROGRAM,12100 GRANDVIEW ROAD,GRANDVIEW,MO,64030,
1/4/93,3064801,AMHERST CAREER CENTER,AMHERST CAREET CENTER,330 NORTH MART,JACKSON,MS,39206,
1/4/94,2124600,LOWELL BEAUTY COLLEGE,LOWELL BEAUTY COLLEGE,403 WEST COMMERCIAL AVENUE,LOWELL,IN,46356,
1/4/95,2360208,STENOTYPE INSTITUTE OF SPRINGFIELD,STENOTYPE INSTITUTE OF SPRINGFIELD - BATON ROUGE,5745 ESSEN LANE SUITE 200,BATON ROUGE,LA,70810,
1/4/00,2601900,MIAMI INSTITUTE OF TECHNOLOGY,MIAMI INSTITUTE OF TECHNOLOGY,1001 SW 1ST STREET,MIAMI,FL,33130-1049,
1/4/10,261011,FELICIAN COLLEGE,FELICIAN COLLEGE -,MMO CONGREGATIONAL CHURCH 40 SOUTH FULLERTON AVENUE,MONTCLAIR,NJ,07042-3357,
1/4/10,261019,FELICIAN COLLEGE,FELICIAN COLLEGE - LAVIDA CHILDCARE CENTER TOO,116 JACKSON STREET,PATERSON,NJ,07501-2806,
1/5/90,2116200,COMMERCIAL PROGRAMMING UNLIMITED,COMMERCIAL PROGRAMMING UNLIMITED,1118 MARKET STREET,PHILADELPHIA,PA,19107,
1/5/90,2193000,CHESEAPEAKE BUSINESS INST OF VIRGINIA,CHESEAPEAKE BUSINESS INST OF VIRGINIA,3823 MT VERNON AVE,ALEXANDRIA,VA,22305,
1/5/92,2347214,BRANELL INSTITUTE,BRANCH LOCATION,POLK CORRECTION INST,POLK CITY,FL,33868,
1/5/92,2523003,AVTECH INSTITUTE,AVTECH INSTITUTE,7101 BAIRD STREET SUITE #202,RESEDA,CA,91335,
1/5/94,2092600,PTC CAREER INSTITUTE,PTC CAREER INSTITUTE,50 N 2ND STREET,PHILADELPHIA,PA,19106-0000,
1/5/94,2092605,PTC CAREER INSTITUTE,PTC CAREER INSTITUTE - CHICAGO,11 E ADAMS STREET 4TH FLOOR,CHICAGO,IL,60603-0000,
1/5/94,2092606,PTC CAREER INSTITUTE,PTC CAREER INSTITUTE - UNIVERSITY HEIGHTS CAMPUS,200 WASHINGTON STREET,NEWARK,NJ,07102-0000,
1/5/94,2092610,PTC CAREER INSTITUTE,PTC CAREER INSTITUTE,40-50 N 2ND STREET,PHILADELPHIA,PA,19106-0000,
1/5/94,2619700,PTC CAREER INSTITUTE,PTC CAREER INSTITUTE,201 EAST BALTIMORE STREET 2ND FLOOR,BALTIMORE,MD,21202,
1/5/95,2244302,ACADEMY OF HAIR DESIGN #1,ACADEMY OF HAIR DESIGN - #2,306 UNIVERSITY DRIVE,STARKVILLE,MS,39759,
1/5/95,2262235,NATIONAL ACADEMY FOR PARALEGAL STUDIES,AUXILIARY CLASSROOM ORANGE,115 S ST,MIDDLETOWN,NY,10940,
1/5/96,1117500,SAWYER SCHOOL OF BUSINESS,SAWYER SCHOOL OF BUSINESS,26051 HOOVER ROAD (SCHOOL CLOSED),WARREN,MI,48089,
1/5/04,488224,OREGON HEALTH & SCIENCE UNIVERSITY,OREGON HEALTH & SCIENCE UNIVERSITY - MSU COLLEGE OF NURSING BILLINGS,BILLINGS CAMPUS 1500 NORTH 30TH,BILLINGS,MT,59101-0252,
1/5/04,2326304,MEDVANCE INSTITUTE,MEDVANCE INSTITUTE - COOKEVILLE,1065 EAST TENTH STREET,COOKEVILLE,TN,38501-1907,
1/5/05,3032701,COOPER CAREER INSTITUTE,COOPER CAREER INSTITUTE - VIRGINIA BEACH,129 N. WITCHDUCK ROAD,VIRGINIA BEACH,VA,23462-6555,
1/5/09,2245502,FORTIS COLLEGE,CENTRAL FLORIDA COLLEGE - CAREER TRAINING INSTITUTE - ORLANDO,3318 EDGEWATER DRIVE,ORLANDO,FL,32804-3742,
1/6/90,863800,WILFRED ACADEMY OF HAIR AND BEAUTY CULTURE,WILFRED ACADEMY OF HAIR AND BEAUTY CULTURE,1001 WEST OAKLAND PARK BOULEVARD,FT LAUDERDALE,FL,33311,
1/6/90,2160700,WILFRED ACADEMY OF HAIR DESIGN & BEAUTY CULTURE,WILFRED ACADEMY OF HAIR DESIGN & BEAUTY CULTURE,1024 NORTH MIAMI BEACH BOULEVARD,NORTH MIAMI BEACH,FL,33162,
1/6/92,2314402,BISH MATHIS INST,BRANCH CAMPUS,202 S ALAMO,MARSHALL,TX,75670,
1/6/95,2347500,COASTAL TRAINING INSTITUTE OF MONTGOMERY,COASTAL TRAINING INSTITUTE OF MONTGOMERY,5950 MONTICELLO DRIVE,MONTGOMERY,AL,36117,
1/6/95,2347503,COASTAL TRAINING INSTITUTE OF MONTGOMERY,COASTAL TRAINING INSTITUTE,CALLE COMERCIAL NUMERO 19-21,AGUADILLA,PR,603,
1/6/97,1248000,ROCKEY'S INSTITUTE OF HAIR DESIGN,ROCKEY'S INST OF HAIR DESIGN,2110 BAY PLAZA CTR,BAYTOWN,TX,77520,
1/6/97,2139000,CRAFT INSTITUTE (THE),CRAFT INSTITUTE (THE),9 SOUTH 12TH STREET,PHILADELPHIA,PA,19107-3616,
1/6/98,945200,INTERSTATE CAREER COLLEGE,INTERSTATE CAREER COLLEGE,6367 EAST TANQUE VERDE ROAD SUITE 100,TUCSON,AZ,85715-3831,
1/6/05,380714,MOUNTAIN STATE UNIVERSITY,MOUNTAIN STATE UNIVERSITY - MCDOWELL COUNTY CAREER AND TECHNICAL CTR,1 STADIUM DRIVE DRAWER V,WELCH,WV,24801-3041,
1/6/06,709000,METHODIST HOSPITAL SCHOOL OF NURSING,METHODIST HOSPITAL SCHOOL OF NURSING,2301 SOUTH BROAD STREET,PHILADELPHIA,PA,19148-3594,
1/6/10,177908,ILLINOIS EASTERN COMMUNITY COLLEGES - WABASH VALLEY COLLEGE,ILLINOIS EASTERN COMMUNITY COLLEGES - WABASH VALLEY COLLEGE - MARISSA,324 EAST SPRING,MARISSA,IL,62257-0000,
1/7/88,658800,NEWPORT HOSPITAL SCHOOL OF NURSING,NEWPORT HOSPITAL SCHOOL OF NURSING,FRIENDSHIP STREET,NEWPORT,RI,2840,
1/7/93,2546802,MTA SCHOOL RESIDENT SCHOOL,BRANCH CAMPUS,11842 MISSOURI BOTTOM ROAD,ST LOUIS,MO,63042,
1/7/93,2546902,MTA SCHOOL RESIDENT SCHOOL,BRANCH CAMPUS,325 N COTA ST,CORONA,CA,91720,
1/7/94,2092607,PTC CAREER INSTITUTE,PTC CAREER INSTITUTE,44 BROAD STREET NW,ATLANTA,GA,30303-0000,
1/7/05,2344300,EMPIRE BEAUTY SCHOOL,EMPIRE BEAUTY SCHOOL,2632 SOUTH BROAD STREET,PHILADELPHIA,PA,19145-4616,
1/7/08,488204,OREGON HEALTH & SCIENCE UNIVERSITY,OREGON HEALTH & SCIENCE UNIVERSITY - BAKER COUNTY CENTER,2100 MAIN,BAKER CITY,OR,97814-2655,
1/7/08,488211,OREGON HEALTH & SCIENCE UNIVERSITY,OREGON HEALTH & SCIENCE UNIVERSITY - GRANT COUNTY CENTER,837 SOUTH CANYON BOULEVARD,JOHN DAY,OR,97845-1056,
1/7/08,488212,OREGON HEALTH & SCIENCE UNIVERSITY,OREGON HEALTH & SCIENCE UNIVERSITY - HARNEY COUNTY CENTER,1100 OREGON AVENUE,BURNS,OR,97720-2312,
1/7/08,488219,OREGON HEALTH & SCIENCE UNIVERSITY,OREGON HEALTH & SCIENCE UNIVERSITY - WALLOWA COUNTY CENTER,301 WEST NORTH STREET,ENTERPRISE,OR,97828-1096,
1/7/11,199906,UNIVERSITY OF LOUISVILLE,UNIVERSITY OF LOUISVILLE - GENERAL ELECTRIC APPLIANCE PARK,4000 BUECHEL BANK ROAD,LOUISVILLE,KY,40218-3477,
1/8/86,2229800,BIGGERS SCHOOL COURT REPORT/SECRETARY SCIENCE,BIGGERS SCHOOL COURT REPORT/SECRETARY SCIENCE,601 PAPWORTH AVENUE SUITE 200,METAIRIE,LA,70005,
1/8/94,2610300,HOUSE OF JAMES BEAUTY COLLEGE,HOUSE OF JAMES BEAUTY COLLEGE,6901 EAST WASHINGTON STREET,INDIANAPOLIS,IN,46219-0000,
1/8/94,2610400,HOUSE OF JAMES BEAUTY COLLEGE,HOUSE OF JAMES BEAUTY COLLEGE,1523 25TH STREET,BEDFORD,IN,47421,
